Player_ID,Last_Name,First_Name,Junior_Flag,Nickname,Position,Player_of_Game_Count,Championship_Rings,Player_of_the_Week_Count,Player_of_the_Week_Win,Height,Weight,Hall_of_Fame_Flag,Year_Inducted,Percentage_of_Vote,Chosen_Team,Year_Born,Month_Born,Day_Born,College,Draft_Round,Drafted_Position,Drafted_By,Draft_Year,4th_Quarter_Comebacks,Quarterback_Wins,Quarterback_Losses,Quarterback_Ties,Home_Town,Home_State,Career_Games_Played,Number_of_Seasons,Season_1_Pointer_to_Player_Year_Data,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_16,SP_17,SP_18,SP_19,SP_20,Season_1_Year,SY_2,SY_3,SY_4,SY_5,SY_6,SY_7,SY_8,SY_9,SY_10,SY_11,SY_12,SY_13,SY_14,SY_15,SY_16,SY_17,SY_18,SY_19,SY_20
26,Whitworth,Andrew,0,,LT,0,0,2,0,79,330,0,0,0,0,1981,12,12,85,2,23,6,2006,0,0,0,0,4666,18,14,1,575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Crosby,Mason,0,,K,0,0,5,0,73,207,0,0,0,0,1984,9,3,21,6,19,10,2007,0,0,0,0,11669,43,35,2,598,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Ginn,Ted,0,,FL,0,0,0,0,71,167,0,0,0,0,1985,4,12,17,1,9,14,2007,0,0,0,0,9074,35,32,2,621,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Olsen,Greg,0,,TE,0,1,0,0,78,255,0,0,0,0,1985,3,11,34,1,31,5,2007,0,0,0,0,7606,30,19,1,644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Prater,Matt,0,,K,0,0,3,0,70,201,0,0,0,0,1984,8,10,106,0,0,-1,0,0,0,0,0,9101,35,16,1,667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brown,Duane,0,,LT,0,1,0,0,76,315,0,0,0,0,1985,8,30,39,1,26,31,2008,0,0,0,0,12721,46,13,1,713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Campbell,Calais,0,,LDT,0,0,0,0,80,300,0,0,0,0,1986,9,1,34,2,19,0,2008,0,0,0,0,1794,6,12,1,736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Carr,Brandon,0,,RCB,0,0,0,0,72,210,0,0,0,0,1986,5,19,307,5,5,13,2008,0,0,0,0,5535,22,0,1,759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Flacco,Joe,0,,QB,5,0,6,0,78,245,0,0,0,0,1985,1,16,137,1,18,2,2008,0,8,10,0,7659,30,22,2,782,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Folk,Nick,0,,K,1,0,9,0,73,222,0,0,0,0,1984,11,5,66,6,4,7,2007,0,0,0,0,1137,5,0,3,805,253,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Henne,Chad,0,,QB,0,0,0,0,75,222,0,0,0,0,1985,7,2,13,2,26,14,2008,0,0,0,0,10501,38,0,3,851,276,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Incognito,Richie,0,,LG,0,0,0,0,75,325,0,0,0,0,1983,7,5,26,3,17,26,2005,0,0,0,0,7711,30,0,1,874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Jackson,DeSean,0,,FL,0,0,1,0,70,175,0,0,0,0,1986,12,1,68,2,18,21,2008,0,0,0,0,869,5,18,1,897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jansen,J.J.,0,,LS,0,0,0,0,74,235,0,0,0,0,1986,1,20,110,0,0,-1,0,0,0,0,0,422,3,16,1,920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Peterson,Adrian,0,,RB,0,0,0,0,73,220,0,0,0,0,1985,3,21,28,1,7,15,2007,0,0,0,0,11855,43,16,1,966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ryan,Matt,0,,QB,16,0,26,2,77,227,0,0,0,0,1985,5,17,33,1,3,1,2008,6,26,23,1,10333,38,0,3,989,299,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Slater,Matthew,0,,SE,0,0,0,0,72,205,0,0,0,0,1985,9,9,72,5,18,16,2008,0,0,0,0,1145,5,3,1,1012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Amendola,Danny,0,,FL,0,0,0,0,71,185,0,0,0,0,1985,11,2,32,0,0,-1,0,0,0,0,0,11554,43,31,2,1035,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cook,Jared,0,,TE,0,0,0,0,77,254,0,0,0,0,1987,4,7,79,3,25,28,2009,0,0,0,0,2383,10,16,1,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Edelman,Julian,0,,FL,0,0,2,0,70,198,0,0,0,0,1986,5,22,59,7,23,16,2009,0,0,0,0,1307,5,30,2,1127,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Harris,Clark,0,,LS,0,0,0,0,77,250,0,0,0,0,1984,7,10,36,7,33,10,2007,0,0,0,0,7502,30,16,1,1150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Hoyer,Brian,0,,QB,0,0,0,0,74,216,0,0,0,0,1985,10,13,14,0,0,-1,0,0,0,0,0,9118,35,1,2,1173,391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Huber,Kevin,0,,P,0,0,0,0,73,210,0,0,0,0,1985,7,16,47,5,6,6,2009,0,0,0,0,9080,35,0,3,1196,414,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Jenkins,Malcolm,0,,SS,0,0,0,0,72,204,0,0,0,0,1987,12,20,17,1,14,17,2009,0,0,0,0,7515,30,32,2,1219,437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Mack,Alex,0,,C,0,0,0,0,76,311,0,0,0,0,1985,11,19,68,1,21,30,2009,0,0,0,0,1129,5,0,3,1242,460,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,McCourty,Jason,0,,LCB,0,0,3,0,72,195,0,0,0,0,1987,8,13,36,6,30,28,2009,0,0,0,0,8166,32,49,3,1265,483,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,McCoy,LeSean,0,,RB,0,0,0,0,71,210,0,0,0,0,1988,7,12,35,2,21,21,2009,0,0,0,0,10331,38,0,1,1288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Morstead,Thomas,0,,P,0,0,0,0,76,235,0,0,0,0,1986,3,8,91,5,28,17,2009,0,0,0,0,11543,43,16,2,1311,506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Stafford,Matthew,0,,QB,1,0,6,0,75,220,0,0,0,0,1988,2,7,77,1,1,9,2009,1,5,10,0,2068,9,0,3,1334,529,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Succop,Ryan,0,,K,0,0,5,0,75,218,0,0,0,0,1986,9,19,79,7,47,13,2009,0,0,0,0,8786,33,0,3,1357,552,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Alualu,Tyson,0,,NT,0,0,0,0,75,304,0,0,0,0,1987,5,12,68,1,10,12,2010,0,0,0,0,2696,11,25,2,1380,575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Atkins,Geno,0,,LDT,0,0,7,0,73,300,0,0,0,0,1988,3,28,77,4,22,6,2010,0,0,0,0,2093,9,0,3,1403,598,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bulaga,Bryan,0,,RT,0,0,0,0,77,314,0,0,0,0,1989,3,21,12,1,23,10,2010,0,0,0,0,2998,13,14,2,1449,621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Colquitt,Britton,0,,P,0,0,0,0,75,210,0,0,0,0,1985,3,20,80,0,0,-1,0,0,0,0,0,11215,42,16,2,1472,644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Cox,Morgan,0,,LS,0,0,0,0,76,235,0,0,0,0,1986,4,26,80,0,0,-1,0,0,0,0,0,11222,42,18,1,1495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Dunlap,Carlos,0,,LDE,0,1,3,0,78,285,0,0,0,0,1989,2,28,76,2,22,6,2010,0,0,0,0,11027,40,31,2,1518,667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Gano,Graham,0,,K,2,0,11,0,74,202,0,0,0,0,1987,4,9,3,0,0,-1,0,0,0,0,0,0,0,0,3,1541,690,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Graham,Brandon,0,,LDE,2,0,6,0,74,265,0,0,0,0,1988,4,3,13,1,13,21,2010,0,0,0,0,5477,22,33,2,1564,713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Graham,Jimmy,0,,TE,0,0,0,0,79,260,0,0,0,0,1986,11,24,34,3,31,17,2010,0,0,0,0,8712,33,31,2,1587,736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Griffen,Everson,0,,RDE,0,0,13,0,75,273,0,0,0,0,1987,12,22,73,4,2,15,2010,0,0,0,0,466,3,46,3,1610,759,253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
